colour_name,hex_value,api_featured_image,brand,category,created_at,currency,description,id,image_link,name,price,price_sign,product_api_url,product_link,product_type,rating,tag_list,updated_at,website_link,distances
Peach ,#FFAE83,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/472/original/data?1514063327,cargo cosmetics,powder,2016-10-01 18:35:33.157,,"Cargo Cosmetics HD Picture Perfect Blush Highlighter was created for high-definition filming to provide picture-perfect 
results while looking completely natural.The Cargo HD 
Blush/Highlighter is a universally flattering shade of blush with a 
velvety formula that adjusts with ambient lighting, providing a natural 
finish day or night..  
Features:
Photochromatic pigments adjust with the lighting so that you have a natural looking make-up no matter what the settingUltra-fine micronized minerals fill the look of fine lines and reduce the appearance of imperfectionsShade Range: Application: For a natural application of color apply to the apples of the cheeks and long the cheekbones using a large fluffy blush brushTo highlight and enhance the cheekbones use a small blush brush or sculpting brush along the upper edges of the cheekbonesIngredients: Talc, Nylon-12, Octyldodecyl Stearoyl Stearate, Silica, Zinc Stearate, Caprylyl Glycol, Silver Oxide May Contain (+/-): Mica (CI 77019), Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Iron Oxides (CI 77491), Ultramarines (CI 77007).
",472,"https://d3t32hsnjxo7q6.cloudfront.net/i/c976f8b3aabe8368fdc673e556159a13_ra,w158,h184_pa,w158,h184.jpeg",Cargo Cosmetics HD Picture Perfect Blush Highlighter,32.0,,http://makeup-api.herokuapp.com/api/v1/products/472.json,https://well.ca/products/cargo-cosmetics-hd-picture-perfect_87679.html,blush,,[],2017-12-23 21:08:47.343,https://well.ca,42.37924020083418
Beam,#F1BB9E,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/001/003/original/open-uri20171227-4-13ivnwv?1514343870,glossier,cream,2017-12-27 03:04:32.907,USD,"With Cloud Paint, we set out to make blush the high point of your routine. The pillowy, gel-cream formula is designed to be the most user-friendly cheek color in existence. If you can finger paint, you can Cloud Paint—simply dab it onto cheeks wherever you please. It’s seamless, sheer, and buildable (i.e. it’s hard to accidentally apply too much). Inspired by gradient pink NYC sunsets, the shades are optimized to work across a wide range of skin tones for a healthy, flushed-from-within glow.",1003,https://static-assets.glossier.com/production/spree/images/attachments/000/001/241/portrait_normal/CP_PDP_02.jpg?1488382023,Cloud Paint,22.0,$,http://makeup-api.herokuapp.com/api/v1/products/1003.json,https://www.glossier.com/products/cloud-paint,blush,,[],2017-12-27 03:05:09.354,https://www.glossier.com,51.048996072400875
Tender Rose ,#E9B899,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/447/original/data?1514063326,l'oreal,powder,2016-10-01 18:34:59.254,,"True Match Blush flawlessly complements your skin's texture and tone and coordinates perfectly with True Match Makeup, Powder, and Concealer.Opti-Match technology creates uniquely true-to-life shades that flawlessly complement your skintone and undertone to perfection, leaving you with the most natural flush of colour imaginable.A unique Opti-BlendTM formula provides a skin-true texture that blends smoothly, never looks chalky or cakey.  Stays fresh and natural looking hour after hour.Oil-free, vitamin-rich, and non-comedogenic.",447,"https://d3t32hsnjxo7q6.cloudfront.net/i/e4e4827631b874f898d41a90ab3de5a6_ra,w158,h184_pa,w158,h184.jpeg",L'Oreal Paris True Match,16.49,,http://makeup-api.herokuapp.com/api/v1/products/447.json,https://well.ca/products/loreal-paris-true-match_4395.html,blush,4.8,[],2017-12-23 21:08:46.196,https://well.ca,51.76871642217914
Soft Spoken ,#F6A083,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/463/original/data?1514063326,nyx,powder,2016-10-01 18:35:22.411,,This NYX High Definition Blush is a high definition lightweight blush that blends evenly.  This vibrant and silky blush delivers a beautiful flush of colour and is paraben free. ,463,"https://d3t32hsnjxo7q6.cloudfront.net/i/e4842a84c9c0522ba29f1a856d841b1c_ra,w158,h184_pa,w158,h184.jpg",NYX High Definition Blush,7.99,,http://makeup-api.herokuapp.com/api/v1/products/463.json,https://well.ca/products/nyx-high-definition-blush_118146.html,blush,4.0,[],2017-12-23 21:08:46.552,https://well.ca,56.50663677834667
Pink ,#E8A78B,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/472/original/data?1514063327,cargo cosmetics,powder,2016-10-01 18:35:33.157,,"Cargo Cosmetics HD Picture Perfect Blush Highlighter was created for high-definition filming to provide picture-perfect 
results while looking completely natural.The Cargo HD 
Blush/Highlighter is a universally flattering shade of blush with a 
velvety formula that adjusts with ambient lighting, providing a natural 
finish day or night..  
Features:
Photochromatic pigments adjust with the lighting so that you have a natural looking make-up no matter what the settingUltra-fine micronized minerals fill the look of fine lines and reduce the appearance of imperfectionsShade Range: Application: For a natural application of color apply to the apples of the cheeks and long the cheekbones using a large fluffy blush brushTo highlight and enhance the cheekbones use a small blush brush or sculpting brush along the upper edges of the cheekbonesIngredients: Talc, Nylon-12, Octyldodecyl Stearoyl Stearate, Silica, Zinc Stearate, Caprylyl Glycol, Silver Oxide May Contain (+/-): Mica (CI 77019), Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Iron Oxides (CI 77491), Ultramarines (CI 77007).
",472,"https://d3t32hsnjxo7q6.cloudfront.net/i/c976f8b3aabe8368fdc673e556159a13_ra,w158,h184_pa,w158,h184.jpeg",Cargo Cosmetics HD Picture Perfect Blush Highlighter,32.0,,http://makeup-api.herokuapp.com/api/v1/products/472.json,https://well.ca/products/cargo-cosmetics-hd-picture-perfect_87679.html,blush,,[],2017-12-23 21:08:47.343,https://well.ca,56.7626637852735
Soft Spoken,#F4A38D,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,57.42821606144492
Soft Spoken,#F4A38D,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,57.42821606144492
Nude ,#E6AC96,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/448/original/data?1514063323,almay,powder,2016-10-01 18:35:01.157,,"Brighten up your complexion with smart shade™ powder blush. This lightweight, 
smooth formula glides on easily and evenly for a look of natural 
radiance. Three shades of bricked color swirl together to create the 
perfect blush shade for your skin.Application Tips: Swirl the brush across the top of the palette.  Sweep across the apples 
of your cheeks.  For an all-over glow, apply subtle strokes across the 
contours of your face.
            ",448,"https://d3t32hsnjxo7q6.cloudfront.net/i/f939707421649b0ceab58c0534ec44de_ra,w158,h184_pa,w158,h184.jpeg",Almay Smart Shade Powder Blush,14.49,,http://makeup-api.herokuapp.com/api/v1/products/448.json,https://well.ca/products/almay-smart-shade-powder-blush_84485.html,blush,4.0,[],2017-12-23 21:08:43.875,https://well.ca,58.974570791146924
Ignite,#E5C0A6,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/918/original/open-uri20171224-4-1g2payx?1514082631,nyx,,2017-12-24 02:28:34.896,USD,Baked to sheer perfection this luxurious formula is packed full of pigments to provide a natural glow and highlight to the face. Uniquely designed to be used wet or dry depending upon the makeup statement you want to make. When used dry with a brush the look is light and fresh. Want more color? No Problem! Apply wet with a makeup sponge for more intensity.,918,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dwfdfb0cd6/ProductImages/Face/Baked_Blush/800897824181_bakedblush_fullonfemme_main.jpg?sw=390&sh=390&sm=fit,Baked Blush,7.0,$,http://makeup-api.herokuapp.com/api/v1/products/918.json,https://www.nyxcosmetics.com/baked-blush/NYX_128.html?cgid=blush,blush,,[],2017-12-24 02:30:31.495,https://www.nyxcosmetics.com,59.67411499134277
Medium Coral  ,#FC9D8F,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/439/original/open-uri20171223-4-1max36x?1514063325,maybelline,powder,2016-10-01 18:34:46.302,,"Maybelline Fit Me Blush has lightweight pigments blend easily and wear evenly. It provides a natural, fade-proof cheek color that leaves skin the way it was meant to be...fresh, breathing, and natural.

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",439,"https://d3t32hsnjxo7q6.cloudfront.net/i/53d5f825461117c0d96946e1029510b0_ra,w158,h184_pa,w158,h184.png",Maybelline Fit Me Blush,10.29,,http://makeup-api.herokuapp.com/api/v1/products/439.json,https://well.ca/products/maybelline-fit-me-blush_31269.html,blush,4.8,[],2017-12-23 21:08:45.097,https://well.ca,62.72160712226688
